J,h,val,err,,,
1.162920705,0.859903857,0.209370548,0.000608146,,,
1.162830764,0.859970368,0.209394734,0.000607511,,,
1.162740822,0.860036889,0.209421483,0.000607157,,,
1.162650881,0.860103421,0.209448021,0.000605947,,,
1.16256094,0.860169962,0.20947598,0.000605389,,,
1.162470999,0.860236514,0.209507947,0.000604748,,,
1.162381057,0.860303077,0.209535565,0.00060401,,,
1.162291116,0.860369649,0.209559881,0.000602879,,,
1.162201175,0.860436232,0.209591352,0.000602266,,,
1.162111234,0.860502825,0.209621651,0.00060119,,,
1.162021292,0.860569429,0.209655501,0.000600756,,,
1.161931351,0.860636043,0.209691206,0.000600128,,,
1.16184141,0.860702667,0.209724462,0.000598649,,,
1.161751469,0.860769301,0.209760337,0.000598201,,,
1.161661527,0.860835946,0.209793734,0.000597025,,,
1.161571586,0.860902601,0.209831483,0.000595674,,,
1.161481645,0.860969267,0.20987108,0.000594664,,,
1.161391704,0.861035942,0.209901369,0.000593449,,,
1.161301762,0.861102628,0.209938166,0.000592871,,,
1.161211821,0.861169325,0.20997815,0.00059233,,,
1.16112188,0.861236032,0.210014542,0.000591942,,,
1.161031939,0.861302749,0.210043328,0.000591439,,,
1.160941997,0.861369476,0.210080589,0.000591578,,,
1.160852056,0.861436214,0.210120391,0.000591161,,,
1.160762115,0.861502962,0.210157297,0.000590956,,,
1.160672174,0.86156972,0.210193299,0.00059078,,,
1.160582232,0.861636489,0.210234752,0.000590304,,,
1.160492291,0.861703268,0.210277003,0.000590442,,,
1.16040235,0.861770058,0.210314594,0.000590999,,,
1.160312409,0.861836857,0.21035635,0.000590643,,,
1.160222468,0.861903668,0.210398012,0.000590308,,,
1.160132526,0.861970488,0.210438736,0.000590896,,,
1.160042585,0.862037319,0.210483943,0.000590875,,,
1.159952644,0.86210416,0.210527667,0.000591178,,,
1.159862703,0.862171012,0.210570142,0.000591317,,,
1.159772761,0.862237874,0.210611615,0.000591493,,,
1.15968282,0.862304746,0.210652667,0.000592081,,,
1.159592879,0.862371629,0.210698141,0.000591687,,,
1.159502938,0.862438522,0.210736682,0.000591767,,,
1.159412996,0.862505426,0.210781444,0.000591713,,,
1.159323055,0.86257234,0.210824757,0.000591937,,,
1.159233114,0.862639264,0.210865914,0.000591737,,,
1.159143173,0.862706199,0.210913727,0.00059136,,,
1.159053231,0.862773144,0.210954261,0.000591605,,,
1.15896329,0.862840099,0.210998447,0.000591034,,,
1.158873349,0.862907065,0.21104413,0.000591468,,,
1.158783408,0.862974041,0.211083381,0.00059092,,,
1.158693466,0.863041028,0.21112523,0.000590429,,,
1.158603525,0.863108025,0.211161851,0.000590329,,,
1.158513584,0.863175032,0.21120466,0.000590591,,,
1.158423643,0.86324205,0.211244365,0.00059028,,,
1.158333701,0.863309078,0.211284126,0.00059008,,,
1.15824376,0.863376117,0.211321275,0.000590858,,,
1.158153819,0.863443166,0.211359865,0.000591017,,,
1.158063878,0.863510225,0.211400333,0.000591488,,,
1.157973936,0.863577295,0.211444663,0.000591908,,,
1.157883995,0.863644376,0.211484387,0.000591903,,,
1.157794054,0.863711466,0.211519863,0.000591988,,,
1.157704113,0.863778567,0.211561834,0.000591871,,,
1.157614172,0.863845679,0.211598279,0.000591663,,,
1.15752423,0.863912801,0.211638905,0.000591931,,,
1.157434289,0.863979933,0.211683469,0.000592,,,
1.157344348,0.864047076,0.211733702,0.000591901,,,
1.157254407,0.86411423,0.211771768,0.000591927,,,
1.157164465,0.864181393,0.211810231,0.000592179,,,
1.157074524,0.864248568,0.211853776,0.000592056,,,
1.156984583,0.864315752,0.21189327,0.000592636,,,
1.156894642,0.864382947,0.211932625,0.000592205,,,
1.1568047,0.864450153,0.211973974,0.000591947,,,
1.156714759,0.864517369,0.212012755,0.00059135,,,
1.156624818,0.864584595,0.212053248,0.000591487,,,
1.156534877,0.864651832,0.212094252,0.00059171,,,
1.156444936,0.864719079,0.212135486,0.000592165,,,
1.156354994,0.864786337,0.212172576,0.000591772,,,
1.156265053,0.864853605,0.212219195,0.000591785,,,
1.156175112,0.864920884,0.21225741,0.000591685,,,
1.156085171,0.864988173,0.212300552,0.000591665,,,
1.155995229,0.865055473,0.212342322,0.000591544,,,
1.155905288,0.865122783,0.212382702,0.000591867,,,
1.155815347,0.865190104,0.21242435,0.000592014,,,
1.155725406,0.865257435,0.212466576,0.000592555,,,
1.155635464,0.865324777,0.21251122,0.000592852,,,
1.155545523,0.865392129,0.212554636,0.000592022,,,
1.155455582,0.865459491,0.212597517,0.000592027,,,
1.155365641,0.865526864,0.2126337,0.000591348,,,
1.1552757,0.865594248,0.212673853,0.000590689,,,
1.155185758,0.865661642,0.212713486,0.000590844,,,
1.155095817,0.865729046,0.212753807,0.000591202,,,
